epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.845,1.58678,3.44719,1.22967,0.51994,0.1811,0.21494,0.14794,1.1476,2.97967,0.96532,0.000193421,0.000193421,0.000193421
2,298.481,1.30679,1.83832,1.07233,0.56792,0.46577,0.47731,0.34771,0.97209,1.5226,0.94646,0.000381711,0.000381711,0.000381711
3,516.318,1.30317,1.52367,1.08033,0.8343,0.40854,0.50721,0.37302,1.02754,1.36273,0.95575,0.000562238,0.000562238,0.000562238
4,778.974,1.20951,1.30015,1.04369,0.75588,0.26342,0.28373,0.21118,1.01512,1.07796,0.95084,0.000553073,0.000553073,0.000553073
5,1132.61,1.15591,1.13131,1.03119,0.88351,0.26553,0.28117,0.21642,1.09129,0.94975,0.98586,0.00054143,0.00054143,0.00054143
6,1679.2,1.1637,1.03028,1.02598,0.89761,0.08063,0.10027,0.07715,0.90205,0.85378,0.9285,0.000529788,0.000529788,0.000529788
7,2925.87,1.10627,0.9622,1.02021,0.85005,0.08063,0.09975,0.07621,0.88417,0.81461,0.92662,0.000518146,0.000518146,0.000518146
